TS,TEMP,WIND
2018-01-01,35.9,5.6
2018-01-02,32.2,7.4
2018-01-03,33.9,7.6
2018-01-04,21.5,10.2
2018-01-05,8.8,6.1
2018-01-06,15.9,2.1
2018-01-07,22.5,0.5
2018-01-08,25,1.2
2018-01-09,40.3,5.6
2018-01-10,43.8,4.5
2018-01-11,32.2,14.2
2018-01-12,23.6,7.5
2018-01-13,23.7,12.4
2018-01-14,20.5,4.2
2018-01-15,31.2,1.5
2018-01-16,33.5,2.2
2018-01-17,33.3,7.2
2018-01-18,23.7,11.2
2018-01-19,16.9,16.3
2018-01-20,22.5,12.8
2018-01-21,23.8,9.2
2018-01-22,20.6,8.6
2018-01-23,21.5,8.6
2018-01-24,18.5,6.5
2018-01-25,28.2,3.3
2018-01-26,36.6,10.7
2018-01-27,39.1,11.8
2018-01-28,29.5,6.7
2018-01-29,33.1,7.6
2018-01-30,29.4,10.4
2018-01-31,40.8,9.3
2018-02-01,48.2,12
2018-02-02,38.7,6.3
2018-02-03,39.3,7.9
2018-02-04,48.8,8.8
2018-02-05,36.2,9.9
2018-02-06,29.9,6.5
2018-02-07,36.4,5.3
2018-02-08,30.3,5.1
2018-02-09,26,1.8
2018-02-10,30.4,5.1
2018-02-11,22.4,13.2
2018-02-12,12.8,7.3
2018-02-13,12.7,11.5
2018-02-14,-4.8,10
2018-02-15,4.8,3.2
2018-02-16,30.4,6.3
2018-02-17,34.6,10
2018-02-18,26,10.5
2018-02-19,22.2,6.4
2018-02-20,43.1,15.6
2018-02-21,45.1,8.9
2018-02-22,34.5,7
2018-02-23,25.9,4
2018-02-24,34.6,2.3
2018-02-25,45.4,7
2018-02-26,29.4,17.4
2018-02-27,26.7,6.8
2018-02-28,48.1,12.9
2018-03-01,31,7.3
2018-03-02,33.2,13.3
2018-03-03,22.5,10
2018-03-04,25.1,4.3
2018-03-05,26.4,7.2
2018-03-06,32.2,2.1
2018-03-07,38.2,7.1
2018-03-08,46.1,2.1
2018-03-09,58.8,7.3
2018-03-10,63,4.9
2018-03-11,51.5,10.4
2018-03-12,41.3,5.4
2018-03-13,50,7.8
2018-03-14,42.6,6.5
2018-03-15,46.2,4.5
2018-03-16,52.7,4.6
2018-03-17,50.1,6.1
2018-03-18,43.9,11.5
2018-03-19,33.8,7.5
2018-03-20,30.8,4.3
2018-03-21,38.2,8.3
2018-03-22,38.2,9.1
2018-03-23,47.6,9.4
2018-03-24,42,7.6
2018-03-25,48.3,12.9
2018-03-26,39.3,7.1
2018-03-27,45.7,8.5
2018-03-28,46.2,10.3
2018-03-29,41.5,19.1
2018-03-30,41.9,8.1
2018-03-31,56.3,14.5
2018-04-01,65.8,13.6
2018-04-02,46.2,8.3
2018-04-03,34,13.5
2018-04-04,24.5,7.4
2018-04-05,24.5,8
2018-04-06,29.7,8.5
2018-04-07,48.1,11.3
2018-04-08,41,7.3
2018-04-09,36.3,6.2
2018-04-10,34.9,8.2
2018-04-11,44.6,10.9
2018-04-12,47.8,11.3
2018-04-13,41.4,6.2
2018-04-14,44.9,6.9
2018-04-15,47.8,4.4
2018-04-16,52.6,5.4
2018-04-17,55.5,1.8
2018-04-18,60.5,3.4
2018-04-19,55.5,9.6
2018-04-20,51,8.2
2018-04-21,53.6,3.9
2018-04-22,65.9,4.9
2018-04-23,57.6,10.1
2018-04-24,47.3,6.4
2018-04-25,50.7,5
2018-04-26,43.1,6.3
2018-04-27,44.9,6.6
2018-04-28,47.2,5.8
2018-04-29,47.8,7.2
2018-04-30,54.4,4.1
2018-05-01,50.6,6.6
2018-05-02,46.8,4.6
2018-05-03,50.2,4.8
2018-05-04,50.3,3.4
2018-05-05,51.3,5.9
2018-05-06,55.3,5.7
2018-05-07,55.9,3.6
2018-05-08,54,13.7
2018-05-09,50.7,10
2018-05-10,51.9,5.6
2018-05-11,59,2.5
2018-05-12,63.4,3.4
2018-05-13,63.5,8.7
2018-05-14,60.3,6.7
2018-05-15,48.1,14.7
2018-05-16,46.3,15.1
2018-05-17,52.7,5
2018-05-18,54,4.8
2018-05-19,59.5,3.5
2018-05-20,59.2,2.4
2018-05-21,59.5,3.2
2018-05-22,62.2,4
2018-05-23,65.9,6
2018-05-24,63.9,3.5
2018-05-25,67,6.1
2018-05-26,72.3,3.2
2018-05-27,77.8,7.6
2018-05-28,79.9,3
2018-05-29,78.3,4.1
2018-05-30,73.1,7.2
2018-05-31,71.9,8.8
2018-06-01,69.9,4.3
2018-06-02,73.4,9.6
2018-06-03,69.9,10.7
2018-06-04,71.5,2.4
2018-06-05,67.9,6
2018-06-06,70.2,7.5
2018-06-07,66.5,5.1
2018-06-08,60.4,13.4
2018-06-09,57,16.1
2018-06-10,60,9.5
2018-06-11,56.2,4.6
2018-06-12,62.2,9.3
2018-06-13,58,13.2
2018-06-14,61.4,8.8
2018-06-15,68.7,5
2018-06-16,71.8,3
2018-06-17,70.9,5.9
2018-06-18,70.7,1.4
2018-06-19,75.8,4.8
2018-06-20,76.8,8.2
2018-06-21,75,11.6
2018-06-22,64.7,7
2018-06-23,66.5,4.8
2018-06-24,69,3.4
2018-06-25,71.1,1.6
2018-06-26,77,6
2018-06-27,75.6,9.6
2018-06-28,73.2,9
2018-06-29,70.6,5.7
2018-06-30,72,4.9
2018-07-01,71.3,5.5
2018-07-02,67.2,10.3
2018-07-03,69,7.6
2018-07-04,72,3.7
2018-07-05,77.6,6.4
